client_id,category,owner_client_id,root_subscription_id,type,delta,delta_dts,owner_email,owner,product,delta_dts_adj
f19bcfde08dbbde7f003ca16085aad7a,category4,bfb05a0d5e233de00b1a1c22cb411475,9f91f288eb0fe5668573f111fad7974f,new,0.82,11-11-2020,person1@company.com,person1,Product4-2,11-11-2020
f19bcfde08dbbde7f003ca16085aad7a,category4,bfb05a0d5e233de00b1a1c22cb411475,5148ba69bea7b58eba18c8ec030f80f7,new,4.51,18-12-2020,person30@company.com,person30,Product4-2,18-12-2020
f19bcfde08dbbde7f003ca16085aad7a,category4,20fb90f4e88573e4c2adc2164306db8a,d367ea82ca6b742b441db179f1ed7563,new,4.99,24-02-2021,person10@company.com,person10,Product4-2,24-02-2021
f19bcfde08dbbde7f003ca16085aad7a,category4,884021c01ff559e38b8868842a16cd8d,5711e255fe2e83b2f936343584c52ff2,new,6.31,20-05-2021,person4@company.com,person4,Product4-2,20-05-2021
f19bcfde08dbbde7f003ca16085aad7a,category4,7c0cbaca7c8c76b460cd2ba92ddad500,fcf0a650df20b63d80079479c35fc984,new,6.42,24-05-2021,person14@company.com,person14,Product4-2,24-05-2021
f19bcfde08dbbde7f003ca16085aad7a,category4,a70bb0bc13b927e5f4d1d2454cd47116,5d5b65cc0d111b091c980c1d3533d13a,new,8.55,10-06-2021,person19@company.com,person19,Product4-2,10-06-2021
f19bcfde08dbbde7f003ca16085aad7a,category4,1a7feae8054fbeee24170c50d142f2b0,a12781817b9bd14028db4a878b67f58c,new,2.19,05-08-2021,person6@company.com,person6,Product4-2,05-08-2021
f19bcfde08dbbde7f003ca16085aad7a,category4,5788356fa8d2ba8ed9e21bf15c311f10,5b5f5bd86a10cdb85e7e8270e8d4ba3e,new,2.7,23-10-2021,person5@company.com,person5,Product4-2,23-10-2021
f19bcfde08dbbde7f003ca16085aad7a,category4,c44be6773dc70f451d808a2a89ddcc8f,d4b04ca088541a115eebc0e699996e66,new,1.73,31-10-2021,person3@company.com,person3,Product4-2,31-10-2021
f19bcfde08dbbde7f003ca16085aad7a,category4,2ce4be5cf1c48d2dc2a6c607a1a4fa27,03c7bf3cd4086c79ff7853c256eaaf92,new,5.49,27-03-2022,person23@company.com,person23,Product4-2,27-03-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,048a64416b67aac41643d5ebb4b5c77f,32c6c0cafe725c237b5cc59d0f20e244,new,9.2,30-03-2022,person7@company.com,person7,Product4-2,30-03-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,0e18c0bf8028b44f70e6b8c2fb7d8397,5c3bb077f56f282e3514468c8946c562,new,4.17,19-04-2022,person13@company.com,person13,Product4-2,19-04-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,98a16b121c0084f4ecb6191546d12c79,3c1bb3ff83cd2d2d991aca95a24f7d42,new,7.52,01-08-2022,person3@company.com,person3,Product4-2,01-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,8035f3a6a058c9b0b7db7adffdae40b7,6ea6ed6e46cadb447e5ad81e13f1b4fd,new,2.66,11-08-2022,person28@company.com,person28,Product4-2,11-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,7733d4183037e79c7b635f11c00d484e,43083a713c5d9efc342ea036910f1e53,new,4.1,11-08-2022,person7@company.com,person7,Product4-2,11-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,18f3fe5316a92987e93bb7c5f4eb48c7,b403e362a2329fc4aa6749f3e333c8a9,new,5.97,16-08-2022,person14@company.com,person14,Product4-2,16-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,23be78a19bf19b6472fee18d4cd41844,fff65f86f94b3ddabb32ae2c81c04ff5,new,9.87,22-08-2022,person21@company.com,person21,Product4-2,22-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,4bf935ce5f9e2391de6985b59fa83989,87685000b8833101d06c596cca39936d,new,8.12,22-08-2022,person2@company.com,person2,Product4-2,22-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,882af65a999249c3c78884efea09a11e,75d56c6b0c5ed77e02b3bcd3179d12f5,new,5.3,23-08-2022,person21@company.com,person21,Product4-2,23-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,398f26e5e38caa2236aa8e4c0425c2ba,49d621d4b2d07360e958a45cff59be6f,new,4.08,23-08-2022,person4@company.com,person4,Product4-2,23-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,1ab2935fec48012107e6fa3ca9aa77b2,a0bf5f52fd9ff9b101abec497fe4280b,new,6.99,24-08-2022,person11@company.com,person11,Product4-2,24-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,498a8e5eab3ead7694e0ac2b944aab89,95a964a5712de8683d7b21e95fbc8231,new,8.7,24-08-2022,person29@company.com,person29,Product4-2,24-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,9033f8539582c028fb6f1e88594f0928,2089e0fa17264cf68577bda2c51a914a,new,9.6,24-08-2022,person25@company.com,person25,Product4-2,24-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,4eb63f8f386b71648ad7a770bcca9965,15d6544ed02469838814b095086ea16f,new,5.15,26-08-2022,person13@company.com,person13,Product4-2,26-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,d1393f6bb84cab14cf7ecee6a44d64fd,825fa67554a6c9c9271dd7e3a49a8aa6,new,1.75,30-08-2022,person12@company.com,person12,Product4-2,30-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,11a9920606ce7ea3058d5d1f311f6365,ee562d730e6f3b53e20514e344f6c15a,new,2.09,30-08-2022,person13@company.com,person13,Product4-2,30-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,7e98f6224cce139bf26f4e6a1d0f9ced,01ff24aab799b04812b91aff6dca50d4,new,7.24,30-08-2022,person18@company.com,person18,Product4-2,30-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,78373a4afdf0423d29dab173197f6be0,f36121ef5aef0c57a7d2f267f051212c,new,1.93,31-08-2022,person26@company.com,person26,Product4-2,31-08-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,9109c2fb42ec74ce4fccd8a7872e1a80,409578dc7d14bfb3143281061f4afc86,new,7.23,08-09-2022,person25@company.com,person25,Product4-2,08-09-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,84abb970fd471e52b8c1441924deb6b1,64617ebeb907132fcedcba5fb360cf5e,new,8.88,12-09-2022,person3@company.com,person3,Product4-2,12-09-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,8591b3cb70275d636536d0003daed4df,57602243d2706ed5f737e6264dc4c492,new,2.1,16-09-2022,person1@company.com,person1,Product4-2,16-09-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,68f70b503cbcfe30a909e3744a647b7a,ed644f9d45d9b8543000bf6b8ca96ad0,new,5.35,23-09-2022,person17@company.com,person17,Product4-2,23-09-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,220be27777b038f0fa7c6e03309957ee,5923460c50c15acdf9811ba89ddff414,new,1.74,23-09-2022,person5@company.com,person5,Product4-2,23-09-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,dcdb89415e7188ed6e377713918fc798,40d292a8d618ef1275801b9e71bc0512,new,6.84,25-09-2022,person16@company.com,person16,Product4-2,25-09-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,b391050ef46843feb177a127f65173c5,7d4e199f6bce60826d7fb4c5642795da,new,7.47,26-09-2022,person12@company.com,person12,Product4-2,26-09-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,5427c3f972da51afbbc0928ad3138307,f7697acd9c39d0b9ebf435a00cf1fab3,new,3.22,06-10-2022,person9@company.com,person9,Product4-2,06-10-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,9987575eeb4a2108564dd34969841a0c,314682fc588aa88c3bc92c2d98a16a12,new,1.4,06-10-2022,person19@company.com,person19,Product4-2,06-10-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,e378d774e07d3e030ff7e1bf330e2a47,4c7ba29e3beccc5c8dd1f558852c61ce,new,6.04,14-10-2022,person3@company.com,person3,Product4-2,14-10-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,b047643e2086874093c16b5a9d082aca,f7c6258783f5a8bbe6b52c41b7afefc1,new,5.04,20-10-2022,person7@company.com,person7,Product4-2,20-10-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,9193724428ba128438b4f499ee87b2fc,9c5dbf86705151eb47d4e3bfe5059195,new,2.17,20-10-2022,person2@company.com,person2,Product4-2,20-10-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,5fc57f04a8c70eb7fa6db65d211f622f,26a01110fd686306dd6a8935fc8da480,new,2.28,26-10-2022,person3@company.com,person3,Product4-2,26-10-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,e22fcaab0e8f5db9724ae35da0a61d55,f3868ca940fdca001db72ebc5ed6ece2,new,6.3,27-10-2022,person22@company.com,person22,Product4-2,27-10-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,94ebce38c53781ecca93ec675c86818d,9db8a9e8eae4673adee155506bd2b921,new,2.8,28-10-2022,person6@company.com,person6,Product4-2,28-10-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,774a60136419ac777d983b5fec79ee4f,eb6fe7037c36425c9959ce1f4392936a,new,3.1,08-11-2022,person30@company.com,person30,Product4-2,08-11-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,5b88afd39c5f7ac22e710e6f02340c93,093c8aa0ad17133dd8c83818b6bab60f,new,3.36,09-11-2022,person23@company.com,person23,Product4-2,09-11-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,57b2defe22a1fc76f626172176e5fbf4,75a61a8f69ee5b29384052cb19aee238,new,5.18,14-11-2022,person14@company.com,person14,Product4-2,14-11-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,3233a05228d9077f74fb3ddbac5d0d1f,94c65c9a82647f9c9d9a8b4d7a418a1b,new,2.87,18-11-2022,person2@company.com,person2,Product4-2,18-11-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,156e094af76a40bd2e6f8089c9ed54b1,36063bd85bc4cdd73c5ef2bbdadb5714,new,2,18-11-2022,person25@company.com,person25,Product4-2,18-11-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,4bcf35cae8f6d27c011edd1ae313d33a,97c4584bf219f749337d0f3387c1ac40,new,8.18,24-11-2022,person25@company.com,person25,Product4-2,24-11-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,12482300a37477de8003261920b2dca5,2d3f7c9167b6a05bdcf54d6efe6c33bc,new,3.05,24-11-2022,person7@company.com,person7,Product4-2,24-11-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,467041d7900e58933b79df281e2492c8,92778d13b9950dbb109a54e20704e1c1,new,3.83,27-11-2022,person29@company.com,person29,Product4-2,27-11-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,60e6f85156addb22072e324f974dd637,4739d04e2350fa715f4376f421693bea,new,2.82,28-11-2022,person10@company.com,person10,Product4-2,28-11-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,efb2f75570913c8f5d88244bbb16811c,4e8d0512462098b52d7e226ab535cc2a,new,1.43,28-11-2022,person16@company.com,person16,Product4-2,28-11-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,99185f397b308218f71ccb07edcc102d,7bbc320e84f4a458cdd4892f040a42c2,new,6.09,05-12-2022,person19@company.com,person19,Product4-2,05-12-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,523d51bca7414d12b3faefcf9122e20e,b208185a5e297460e4814dfb781e0f53,new,2.54,06-12-2022,person9@company.com,person9,Product4-2,06-12-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,6d15f2d72034097545bdb5d8a4e29f22,174a64eb952302c835f23922669149c2,new,4.22,12-12-2022,person13@company.com,person13,Product4-2,12-12-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,3fede5535a137f85070dc5ba893f7580,24c8e486fe914f17081b1b1dd37c6ab1,new,7.56,13-12-2022,person27@company.com,person27,Product4-2,13-12-2022
f19bcfde08dbbde7f003ca16085aad7a,category4,a89d2c4a400a0649df8841dd379012ff,703cd6184706ef6d39b992cb1ee010bb,new,3.61,15-12-2022,person27@company.com,person27,Product4-2,15-12-2022
